StayID,GuestID,RoomID,CheckinDateTime,CheckoutDateTime,BookingSource,NumberOfGuests,RoomRate,ExtraCharges,DiscountAmount,TotalAmount,PaymentMode,Status,LastUpdated
5001,1,101,3/20/2024 13:00,3/21/2024 11:00,Online,2,3500,200,0,3700,Card,CheckedOut,3/21/2024
5002,2,102,3/22/2024 14:30,3/23/2024 10:00,Walk-in,3,5000,500,200,5300,Cash,CheckedOut,3/23/2024
5003,3,201,3/23/2024 12:00,3/24/2024 10:00,Online,1,2500,0,0,2500,UPI,CheckedOut,3/23/2024
5004,4,101,3/24/2024 12:00,3/25/2024 10:00,Online,2,3500,0,0,3500,Card,CheckedOut,3/21/2024
5005,5,102,3/25/2024 12:00,3/26/2024 10:00,Walk-in,3,5000,200,0,5200,Cash,CheckedOut,3/23/2024
5006,6,201,3/26/2024 12:00,3/27/2024 10:00,Online,1,2500,500,0,3000,UPI,CheckedOut,3/24/2024
5007,7,101,3/27/2024 12:00,3/28/2024 10:00,Online,2,3500,0,0,3500,Card,CheckedOut,3/25/2024
5008,8,102,3/28/2024 12:00,3/29/2024 10:00,Walk-in,3,5000,200,0,5200,Cash,CheckedOut,3/26/2024
5009,9,201,3/29/2024 12:00,3/30/2024 10:00,Online,1,2500,500,100,2900,UPI,CheckedOut,3/27/2024
5010,10,101,3/30/2024 12:00,3/31/2024 10:00,Online,1,3500,0,0,3500,Card,CheckedOut,3/28/2024
5011,11,102,3/31/2024 12:00,4/1/2024 10:00,Walk-in,1,5000,200,100,5100,Cash,CheckedOut,3/29/2024
5012,12,201,4/1/2024 12:00,4/2/2024 10:00,Online,1,2500,500,0,3000,UPI,CheckedOut,3/30/2024
5013,13,101,4/2/2024 12:00,4/3/2024 10:00,Online,1,3500,0,0,3500,Card,CheckedOut,3/31/2024
5014,14,102,4/3/2024 12:00,4/4/2024 10:00,Walk-in,1,5000,200,0,5200,Cash,CheckedOut,4/1/2024
5015,15,201,4/4/2024 12:00,4/5/2024 10:00,Online,1,2500,500,0,3000,UPI,CheckedOut,4/2/2024
5016,16,101,4/5/2024 12:00,4/6/2024 10:00,Online,1,3500,0,0,3500,Card,CheckedOut,4/3/2024
5017,17,102,4/6/2024 12:00,4/7/2024 10:00,Walk-in,1,5000,200,0,5200,Cash,CheckedOut,4/4/2024
5018,18,201,4/7/2024 12:00,4/8/2024 10:00,Online,1,2500,500,0,3000,UPI,CheckedOut,4/5/2024
5019,19,101,4/8/2024 12:00,4/9/2024 10:00,Online,1,3500,0,0,3500,Card,CheckedOut,4/6/2024
5020,20,102,4/9/2024 12:00,4/10/2024 10:00,Walk-in,1,5000,100,0,5100,Cash,CheckedOut,4/7/2024
5021,21,201,4/10/2024 12:00,4/11/2024 10:00,Online,1,2500,200,0,2700,UPI,CheckedOut,4/8/2024
5022,22,101,4/11/2024 12:00,4/12/2024 10:00,Online,1,3500,500,0,4000,Card,CheckedOut,4/9/2024
5023,23,102,4/12/2024 12:00,4/13/2024 10:00,Walk-in,1,5000,100,0,5100,Cash,CheckedOut,4/10/2024
5024,24,201,4/13/2024 12:00,4/14/2024 10:00,Online,1,2500,100,100,2500,UPI,CheckedOut,4/11/2024
5025,25,101,4/14/2024 12:00,4/15/2024 10:00,Online,1,3500,100,0,3600,Card,CheckedOut,4/12/2024
5026,26,102,4/15/2024 12:00,4/16/2024 10:00,Walk-in,1,5000,100,0,5100,Cash,CheckedOut,4/13/2024
5027,27,201,4/16/2024 12:00,4/17/2024 10:00,Online,1,2500,100,0,2600,UPI,CheckedOut,4/14/2024
5028,28,101,4/17/2024 12:00,4/18/2024 10:00,Online,1,3500,100,0,3600,Card,CheckedOut,4/15/2024
5029,29,102,4/18/2024 12:00,4/19/2024 10:00,Walk-in,1,5000,100,100,5000,Cash,CheckedOut,4/16/2024
5030,30,201,4/19/2024 12:00,4/20/2024 10:00,Online,1,2500,100,0,2600,UPI,CheckedOut,4/17/2024
5031,31,101,4/20/2024 12:00,4/21/2024 10:00,Online,1,3500,100,0,3600,Card,CheckedOut,4/18/2024
5032,32,102,4/21/2024 12:00,4/22/2024 10:00,Walk-in,1,5000,100,0,5100,Cash,CheckedOut,4/19/2024
